GLIDE_number,Event,Country,Date,Event_Code,Country_Code,Glide_Serial,Comments
TC-2021-000008-MOZ,Tropical Cyclone,Mozambique,2021-01-23,TC,MOZ,2021-000008,"Tropical Cyclone Eloise,  made landfall on early hours of 23 January 2021 near Beira City in Sofala Province, Central Mozambique. Eloise made landfall with sustained wind speeds of up to 150km/hr and has brought heavy to intense rainfall to the coastal and inland areas. Other provinces being impacted are Inhambane and Gaza Provinces."
FL-2021-000007-SYR,Flood,Syrian Arab Rep,2021-01-19,FL,SYR,2021-000007,"A six-year-old boy has died and more than 20,000 children have been displaced by heavy flooding in North West Syria. At least 41,200 people have been affected by a heavy storm which has caused extreme flooding on Monday in northern Idlib and western Aleppo. Most of the people affected have already faced years of being uprooted from their homes due to conflict. At least 62 camps and 2,558 tents have been damaged or destroyed by the storm, often sweeping away the only possessions people had after nearly a decade of displacement. Tens of thousands of people scattered to find shelter from the ongoing storm in schools and mosques. Others were forced to sleep in the open air last night, in temperatures below zero."
TC-2021-000006-MDG,Tropical Cyclone,Madagascar,2021-01-14,TC,MDG,2021-000006,"A low-pressure weather system that formed in the south-west Indian Ocean on 14 January has evolved into a moderate tropical storm, named Eloise, and is expected to make landfall in north-eastern Madagascar between 19 and 20 January, according to different weather services. The storm, which is currently about 700 km from the coast of Madagascar, continues to strengthen."
FL-2021-000005-IDN,Flood,Indonesia,2021-01-18,FL,IDN,2021-000005,"Through its disaster monitoring portal, InaRisk, Indonesia’ Disaster Monitoring Agency has listed 13 districts (Balangan, Banjar, Barito Kuala, Hulu Sungai Selatan, Hulu Sungai Tengah, Hulu Sungai Utara, Kota Banjarbaru, Kota Banjarmasin, Kotabaru, Tabalong, Tanah Bumbu, Tanah Laut, and Tapin) in South Kalimantan as moderate-risk and high-risk flood areas. Moreover, Indonesia’s Meteorological, Climatological, and Geophysical Agency has also issued flood warnings for the above-mentioned districts. PMI is closely monitoring the situation and coordinating the response with relevant government agencies. At the district level, PMI volunteers in branches in the affected areas, have been deployed to the sites since the early stage of the disaster."
FL-2021-000004-IDN,Flood,Indonesia,2021-01-16,FL,IDN,2021-000004,"Flooding and Landslides Across Indonesia, January 2021.
Indonesia’s Meteorological, Climatological, and Geophysical Agency predicts the peak of La Nina to occur in December 2020 and January 2021. The peak of La Nina coincides with the peak of rainy season which usually occurs between January and February. The agency also states that this phenomenon could increase precipitation which triggers heavy rainfall across the country. During this period, Indonesia frequently suffers flood and landslides.  As of January 14, 2021, several provinces in the country had reported floods and landslides since the beginning of the year.
• Lhokseumawe (Aceh), 4 January 2021
• Langsa (Aceh), 4 January 2021
• Malang (East Java), 10 January 2021
• Sembakung (N. Kalimantan), 10 January 2021
• Bima, (West Nusa Tenggara), 10 January 2021
• Sumedang (West Java), 10 January 2021
• Solok (West Sumatra), 12 January 2021
• Tanah Laut (S. Kalimantan), 12 January 2021
• Banjar (S. Kalimantan), 12 January 2021
• Bandung (West Java), 13 January 2021"
EQ-2021-000003-IDN,Earthquake,Indonesia,2021-01-15,EQ,IDN,2021-000003,"A strong earthquake with a magnitude of 6.2 occurred in Majene, West Sulawesi Province, on Friday 15 January 2021 at 1:28:17 Western Indonesia Time (or 02.28 WITA, local Indonesia time). The epicenter was located at 2.98 South Latitude and 118.94 East Longitude (or 6 km northeast of Majene-Sulbar). The earthquake did not trigger tsunami warning. 
 
According to BMKG, the EQ was a type of shallow earthquake that occurred due to local fault activity. Monitoring results show there was one foreshock (M 3.1) and six aftershocks with a maximum magnitude of 4.1. The earthquake was felt for about 5-7 seconds quite strongly in Majene district and Polewali district, causing the local community to panic. There are three districts impacted, Majene Mamuju and Polewali Mandar, with the first two experiencing the most damage.
Initial assessments have confirmed that 8 people in Majene and a further 26 in Mamuju have died from the earthquake and a further 637 people have been injured. About 15,000 people have been displaced to 10 evacuation points in Majene."
CW-2021-000002-JPN,Cold Wave,Japan,2021-01-11,CW,JPN,2021-000002,"Ten people died in snow-related incidents on 9 and 10 January, the Fire and Disaster Management Agency said.The agency said the deaths occurred in Hokkaido, the Tohoku and Hokuriku areas, parts of which have experienced between 120 cms and one meter of snow since Saturday, 9 January."
FL-2021-000001-MYS,Flood,Malaysia,2021-01-04,FL,MYS,2021-000001,"Referring to the flood disaster report from NADMA, a total of 5 states (Johor, Pahang, Kelantan, Selangor, and Perak) have been affected by this disaster starting January 2, 2021. The latest report 4th January 2021 shows the impact of this disaster involving 3,880 families with 14,951 people affected by the flood. 188 evacuation centres have been opened in collaboration with the Social Welfare Department.
The Malaysian Meteorological Department (MetMalaysia) has issued a bad weather warning with incessant heavy rain for several areas in Pahang and Johor on 3rd January 2021. The Malaysian Meteorological Department (MetMalaysia) has issued a bad weather warning with incessant heavy rain for several areas in Pahang and Johor. MetMalaysia in a statement said the rain has been forecast for Pekan and Rompin in Pahang, as well as Mersing in Johor. It said the districts of Raub, Bentong, Temerloh, Maran, Kuantan and Bera in Pahang as well as Segamat and Kluang in Johor, are expected to experience similar weather until 4th January 2021. Heavy rain is also expected in some areas in Kelantan, Terengganu, Pahang (Cameron Highlands, Lipis and Jerantut) and Johor (Tangkak and Muar). Meanwhile, floods in Malaysia have now affected 5 States (22 districts), with 14,951 people affected as of now."
CW-2020-000243-MNG,Cold Wave,Mongolia,2020-12-18,CW,MNG,2020-000243,"Mongolia’s National Agency for Meteorology and Environmental Monitoring has warned that more than 60 per cent of the country is at risk of an extreme winter, with temperatures forecast to plummet to extreme lows of -50C for days on end.These extreme winters – known as dzud – threaten the health and livelihoods of thousands of Mongolian herders living in the country’s remote central and southern provinces."
FL-2020-000242-COL,Flood,Colombia,2020-11-16,FL,COL,2020-000242,"Landslides and flooding triggered by heavy rainfall continue to affect Antioquia Department (north-western Colombia), resulting in at least 18 fatalities and 3 missing people. Search and rescue operations are ongoing to recover the 3 missing people, after a landslide event occurred on 14 November in Dabeida, killing 5 individuals and leaving hundreds of families affected. The Colombian Meteorological Institute (IDEAM) has issued orange alerts for landslides over most of the central and western areas of Colombia and on 27-28 November, rainfall is forecast over most of central, and southern Colombia."
EQ-2020-000241-HRV,Earthquake,Croatia,2020-12-30,EQ,HRV,2020-000241,"At least seven people are known to have died in a magnitude 6.4 earthquake that struck central Croatia on Tuesday.  Rescue teams spent the night scouring the rubble of damaged buildings in the search for survivors. A 12-year-old girl was killed in Petrinja, and Five people died in the nearby town of Glina. A seventh victim was found in the rubble of a church in Zazina, state media reports.

Petrinja's mayor said that about half the town had been destroyed and people had been pulled from the rubble. Many were too afraid to return to their homes overnight in case aftershocks caused more damage, officials said. Some people slept in their cars or stayed with relatives in other areas. About 200 people sheltered in a military barracks."
FF-2020-000240-ZMB,Flash Flood,Zambia,2020-12-25,FF,ZMB,2020-000240,"Heavy rainfall on 25th December 2020 resulted in the bursting of Kandesha Dam that led to flooding in Munengo, Kambobe, Katala, and Chiloweni communities of Mapona ward in Mumbwa district of Central province. The flood destroyed 261 houses and affected 500 households that need humanitarian assistance."
TC-2020-000239-MDG,Tropical Cyclone,Madagascar,2020-12-23,TC,MDG,2020-000239,"A tropical depression has formed in the south-west part of the Indian Ocean and will continue to strengthen as it moves westward towards Madagascar over the next few days. The tropical depression is predicted to develop into a tropical storm named Chalane by 24 December and could further strengthen to become a tropical cyclone. 

As of the morning of 23 December, the tropical low was located about 1,200 kilometres from Antalaha District in northeast Madagascar, with an average wind speed of 55 km/h and guts of 75 km/h, according to Meteo Madagascar. The storm is expected to strike north-east Madagascar around 26 December, bringing high amounts of rainfall which may lead to flooding in affected areas and increase the threat of mudslides. The regions of Sava and Analanjirofo and the districts of Toamasina I-II have been placed on green alert/warning.

The weather system may eventually emerge over the Mozambique Channel early next week and could move towards central Mozambique, where Cyclone Idai hit nearly two years ago. According to Mozambique’s National Institute of Meteorology (INAM), projections indicate that this system could impact the Mozambican coast on 29 or 30 December, affecting Nampula, Zambezia and Sofala provinces."
TC-2020-000238-FJI,Tropical Cyclone,Fiji,2020-12-16,TC,FJI,2020-000238,"Three Tropical Depressions formed from 10 to 13 December (TD01F, TD02F, and TD03F) with tropical cyclone (TC) Yasa forming on the 13 December from TD02F. TC Yasa is currently a category 5 cyclone. According to Fiji Meteorological Service based on TC Yasa current track, it is expected to pass across the two main islands in the evening of 17 December and 18 December 2020. The forecasted path will take this cyclone over most of Viti Levu and tracking towards the Lomaiviti group. Yasa is expected to have hurricane force winds over the whole of Fiji, especially over the Lau group, Vanua Levu, Taveuni and even Kadavu."
FL-2020-000237-LKA,Flood,Sri Lanka,2020-12-08,FL,LKA,2020-000237,"Northeast monsoon and activation of a depression in the south-east Bay of Bengal, intensified rainfall in Sri Lanka during 2-5 December 2020. with the Northern Province as the worst affected. Two deaths were reported in Jaffna district in the Northern Province. The Government of Sri Lanka declared a local level emergency in the Northern Province from 2-5 December. Schools and institutions in the province were closed during this period.
Sri Lanka’s Department of Meteorology reported maximum rainfall up to 279.8mm in Northern Province particularly in Jaffna and Kilinochchi districts following northeast monsoon rains. The continuous rains inundated most of the low lying areas in the two districts and caused damages to residential areas. As this situation intensified, agricultural lands and standing crops were also inundated and damaged as well as the infrastructure. It is expected that this heavy rainfall will continue, which will have an impact and further exacerbate the capacity of vulnerable households in the affected areas. 

According to the Disaster Management Centre (DMC) situation report , as of 8 December 2020, 111,659 people (33,316 families) have been affected across 14 districts. According to the report, 106 houses were fully damaged and 3,783 houses were partially damaged. A total of 15 evacuation centres were activated and 232 families were located in these centres. The DMC is coordinating the national response efforts."
VO-2020-000236-IDN,Volcano,Indonesia,2020-12-07,VO,IDN,2020-000236,"On Sunday, 29 November 2020 at 13.00 Central Indonesia Time (Waktu Indonesia Tengah – WITA (GMT+8)), Indonesia’s Centre for Vulcanology and Geological Disaster Mitigation (Pusat Vulkanologi dan Mitigasi Bencana Geologi – PVMBG) raised an alert level from 2 (advisory, waspada) to 3 (watch/alert, siaga) after increasing activity of Ili Lewotolok Volcano (also known as Ile Lewotolo). The volcano is located in the northern part of Lembata island, East Nusa Tenggara (Nusa Tenggara Timur–NTT) Province. An alert level 3 warrants a danger zone of up to 4 kilometres from the volcano since there is the potential for further eruptions.

From Friday, 27 November 2020 to Thursday, 3 December 2020, Ili Lewotolok Volcano recorded 27 eruptions. PVMBG observed the height of the ash column between 200 – 4,000 meters above the peak of the volcano, and  advised people in the vicinity of Ili Lewotolok Volcano to keep a safe distance because the volcano spews volcanic bombs in all directions. Moreover, heavy ash fall was reported in areas close to the volcano. PVMBG further warned the public of the dangers of exposure to volcanic materials, such as eye injuries, suffocation, and respiratory problems."
TC-2020-000235-VNM,Tropical Cyclone,Viet Nam,2020-11-15,TC,VNM,2020-000235,"Tropical Cyclone VAMCO (Storm No. 13) made landfall on 15 November as a Category 1 storm over Ha Tinh, Quang Binh, Quang Tri and Thua Thien Hue Provinces with wind speeds of up to 100 kph. Between 15 and 16 November, TC VAMCO brought heavy rains, strong winds and storm surge to the province of Thanh Hoa south to Thua Thien Hue, those same areas already bearing the impact of multiple storms and floods that have struck Viet Nam since the beginning of October."
TC-2020-000234-VNM,Tropical Cyclone,Viet Nam,2020-10-28,TC,VNM,2020-000234,"MOLAVE made landfall on the morning of 28 October between Quang Ngai and Quang Nam provinces (central Vietnam) as a typhoon before dissipating on 29 October.
According to media reports, landslides triggered by heavy rain in Quang Nam Province resulted in 15 fatalities, with 40 missing. More than 374,000 people have been evacuated."
TC-2020-000233-IND,Tropical Cyclone,India,2020-11-25,TC,IND,2020-000233,"On 25 November, tropical cyclone NIVAR made landfall over north-eastern Tamil Nadu (around 15 km north of Pondicherry). On 26 November, its centre was located inland approximately 35 km east of Tiruvannamalai, and 110 km south-west of the Chennai area. Media report, as of 26 November, 3 fatalities, hundreds of damaged houses, and about 175,000 evacuated people across 1,694 relief centres in Tamil Nadu."
TC-2020-000232-SOM,Tropical Cyclone,Somalia,2020-11-22,TC,SOM,2020-000232,"Tropical Cyclone Gati made landfall in Somalia on 22 November, primarily impacting 13 villages in Iskushuban district, Bari region, Puntland State. Initial reports indicate that eight people have been killed and 70,000 affected, while property and infrastructure has been damaged. In Xaafuun and Hurdiya villages, 15,000 people have been displaced."
DR-2020-000231-MDG,Drought,Madagascar,2020-11-14,DR,MDG,2020-000231,"Following longstanding drought and food crisis situation, the chronical crisis deteriorated from September 2020 into an acute crisis in the southern districts of the Anosy province, and the President of the Republic called for an international appeal on 14 November 2020 to all humanitarian  actors to join the Government efforts in assisting the affected population in the South of Madagascar."
EP-2020-000230-NGA,Epidemic,Nigeria,2020-11-12,EP,NGA,2020-000230,"Between 1st and 11th November 2020, a total of 222 suspected yellow fever cases, 19 confirmed cases and 76 deaths have been reported from delta, Enugu and Bauchi States. The epidemic was declared on 12 November 2020 by Nigeria Centre for Disease Control (NCDC). Most of the cases are males, with age ranging from 1-55 years and presented with fever, headache, fatigue, jaundice, abdominal pain, vomiting with or without blood, epistaxis, blood in stools/urine, convulsion and unconsciousness (NCDC Sit rep, Epi wk 24-45, 2020)."
CE-2020-000229-ETH,Complex Emergency,Ethiopia,2020-11-04,CE,ETH,2020-000229,"Tension between the federal Government and Tigray regional government has led to military confrontation, which started between 3 and 4 November near Dansha in Western Tigray. Intensive armed conflict has since continued between the two forces, having adverse effects on the population living in the conflict areas, as they now flee Tigray into Amhara Region."
CE-2020-000228-SDN,Complex Emergency,Sudan,2020-11-03,CE,SDN,2020-000228,"On 3rd November 2020, armed clashes were reported between the Ethiopian Defence Forces (EDF) and the Tigray Regiônal Security forces (TPLF) in Tigray region, Ethiopia. as of 16 November, over 26,000 people have already arrived into Sudan in search of safety. On 6th November, the Ethiopian government declared a state of emergency, with a total of 1.5 to 2 million people projected to be affected by this crisis. A continued high influx of refugees is expected to arrive in East Sudan, estimating a total number of 100,000 people to cross the border in the coming days and weeks. While continuing to receive these new arrivals, East Sudan is hosting one of the most protracted refugee situations in the world, with active refugee camps in Kassala, Al Jazeera and Gedarif States."
TC-2020-000227-NIC,Tropical Cyclone,Nicaragua,2020-11-13,TC,NIC,2020-000227,"IOTA has continued to strengthen into a dangerous Category 4 hurricane, expected to bring potentially catastrophic winds, life-threatening storm surge, and extreme rainfall impacts to Central America. 

Data from aircraft and NOAA satellites indicate that maximum sustained winds have increased to near 145 mph (230 km/h) with higher gusts.  Iota is a category 4 hurricane on the Saffir-Simpson Hurricane Wind Scale.  Additional rapid strengthening is expected, and Iota could possibly be a catastrophic category 5 hurricane when it approaches Central America on the night of 16 Nov 2020.

On the forecast track, the core of Iota will pass near or over Providencia island (Colombia) during the early hours of 16 Nov, and make landfall in northeastern Nicaragua and eastern Honduras in the night."
TC-2020-000226-CRI,Tropical Cyclone,Costa Rica,2020-11-10,TC,CRI,2020-000226,"Since 30 October 2020, Hurricane Eta's indirect influence has caused rains of variable intensity across Costa Rica, with especially intense rainfall in Pacific areas in the country. According to data provided by the Emergency Operations Centre (EOC), preliminary numbers established by National Society assessments and general data from the Operations Coordination Centre, the flooding, landslides, and damage to basic services caused by the indirect impact of Hurricane Eta has affected approximately 5,000 families in the provinces of San José, Alajuela, Heredia, Cartago, Puntarenas, Guanacaste, and Limón. On 2 November, the National Meteorological Institute (IMN) reported that Eta, now a category 4 hurricane packing sustained winds of up to 230 km/h and travelling west-ward directly towards Nicaragua at 6 km/h, was located 45 km SE of Cabo Gracias a Dios (Nicaragua-Honduras border) and approximately 426 km north of Limón, Costa Rica.
In Costa Rica, this system's indirect influence increased as Hurricane Eta approached Nicaraguan territory, causing intense rainfall in Pacific areas on 2, 3, and 4 November and damage to roads and institutional, electrical, aqueduct, and household infrastructure in seven provinces and more than 54 cantons. Landslides and flooding have isolated and severely affected communities."
TC-2020-000225-PHL,Tropical Cyclone,Philippines,2020-11-10,TC,PHL,2020-000225,"The Philippine Atmospheric, Geophysical, and Astronomical Services Administration (PAGASA) said in its 5pm bulletin on Monday 9 November, that VAMCO strengthened from a tropical depression into a tropical storm. It now has maximum sustained winds of 65 kilometers per hour (km/h) and gustiness of up to 80 km/h, from 55 km/h and 70 km/h, respectively. The tropical storm is moving northwest at a much slower 15 km/h. 

Tropical Storm VAMCO will move generally northwestward today through tomorrow afternoon. Afterwards, it is forecast to turn westward and head towards the Bicol Region-Quezon area. A landfall over Bicol Region- Quezon area on Thursday is likely at this time. It is likely to reach Severe Tropical Storm category within 24 hours and may reach Typhoon category on Wednesday."
TC-2020-000224-BLZ,Tropical Cyclone,Belize,2020-11-09,TC,BLZ,2020-000224,"Tropical Depression Eta entered Belize's coast on November 6 with maximum sustained winds of 35 mph and moved north at 7 mph. Rain-heavy remnants of Hurricane Eta continue to impact Belize, with the closure of the Philip Goldson International Airport (PGIA) on Friday, November 6. Eta, now a Tropical Depression, has brought incessant rains since Tuesday; many districts of Belize remain under a flood warning. Storm Eta impacted Belize with an estimated 254–508 mm of rain."
IN-2020-000223-ZMB,Insect Infestation,Zambia,2020-09-01,IN,ZMB,2020-000223,"In Zambia the outbreak of the African Migratory Locusts affects parts of Central, Southern and Western Provinces. Affected districts include Shibuyunji, Mumbwa, Itezhi-tezhi, Kazungula, Namwala, Sesheke, Nalolo, Mongu, Mwandi, Kalabo, Senanga and Sioma. The invasion has become very serious in Sesheke, Mwandi and Sioma in Western and Kazungula in Southern Provinces. The outbreak of the locusts has the potential to disrupt the 2020/2021 agricultural season that is due to start in October/November and thereby affect household and national food security."
TC-2020-000222-GTM,Tropical Cyclone,Guatemala,2020-11-08,TC,GTM,2020-000222,"Eta made landfall in neighbouring Nicaragua on Tuesday as a Category Four hurricane with winds of 140mph (225km/h) and torrential rains. It then weakened into a tropical depression as it moved into neighbouring Honduras and later Guatemala.
CONRED figures from 6 November reports in Guatemala , 81,553 people severely affected, 5,120 people evacuated, and 4,812 people in formal collective centres. Rains from the tropical depression Eta caused a landslide in Quejá village, located in San Cristóbal Verapaz in the Alta Verapaz department. Landslides covered 150 homes, and the government sources have estimated that approximately 100 people remain missing. Other landslides were reported in Cunén, Quiche, Chinautla, Guatemala, and San Juan Ixcoy in Huehuetenango with nine confirmed deaths."
FF-2020-000221-SOM,Flash Flood,Somalia,2020-10-24,FF,SOM,2020-000221,"Flash floods triggered by Deyr seasonal rains (October-December) have affected nearly 20,000 people especially in Banadir region especially the capital of Mogadishu, Galmudug, South West and Jubaland states in the last two weeks. The floods have inundated swathes of farmland, damaged property and disrupted livelihoods at a time that Somalia is grappling with the COVID-19 pandemic and desert locusts in the northern region."
TC-2020-000220-HND,Tropical Cyclone,Honduras,2020-11-05,TC,HND,2020-000220,"Eta originated as a tropical wave in the eastern Caribbean Sea that developed into a tropical depression late on 31 October. Eta intensified into a major hurricane before reaching Category 4 strength on 3 November. An eyewall replacement cycle then caused the storm to weaken some, but it remained at Category 4 strength as it made landfall south of Puerto Cabezas, Nicaragua, late on 3 November. Eta rapidly weakened to tropical storm status early on 4 November. Although significantly reduced in strength, Eta, one of the most powerful storms to strike Central America since the deadly Hurricane Mitch in 1998, continued to pose concerns. In Honduras, rivers and towns on the Atlantic coast flooded, and landslides made roads impassable."
LS-2020-000219-SLV,Land Slide,El Salvador,2020-10-30,LS,SLV,2020-000219,"On October 29, the Environmental Observatory reported a very high probability (80% -100%) of the occurrence of landslides and debris flows in Cerro El Picacho, Boquerón and neighboring municipalities (north of Santa Tecla, San Salvador, Mejicanos and Nejapa). At approximately 11:00 p.m., a large-scale landslide occurred from Cerro El Picacho with an approximate distance of 4 km of mud, rocks, logs and other debris that impacted Caserío Angelitos 1 and 2 of the municipality of Nejapa, San Salvador."
TC-2020-000218-NIC,Tropical Cyclone,Nicaragua,2020-11-02,TC,NIC,2020-000218,"According to the United States’ National Hurricane Center (NHC), Eta is on track to make landfall over Nicaragua’s northeastern shores near their border with Honduras on late 2 November or early 3 November as a Category 1 or 2 storm, bringing sustained winds of 150 km/h and high rainfall of up to 635mm to much of Nicaragua and Honduras. Eta’s projected path will take it over parts of Belize, El Salvador and Guatemala as well. Per the Pacific Disaster Center (PDC), there are nearly 70,000 people in areas along Eta’s track through northern Nicaragua exposed to hurricane winds, 80 per cent of whom are in rural areas."
